TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,linux-tools,helps with linux monitoring
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
A,aurman,can install packages from the AUR
,xorg,installs all xorg functions
,vim,is the cli text editor
,nvidia-dkms,is the Nvidia driver DKMS installer
,nvidia-utils,is the nvidia driver utilitiy
,lib32-nvidia-utils,is the nvidia driver utility (32-bit)
,opencl-nvidia,is the Open CL nvidia driver
,lib32-opencl-nvidia,is the Open CL nvidia driver (32-bit)
,nvidia-settings,is the Nvidia settings daemon
,arc-gtk-theme,is the GTK theme of choice
,lxappearance,is the configurator for theming
,papirus-icon-theme,is the icon pack of choice
,noto-fonts,is the preferred font for this build
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,calcurse,is a lightweight terminal-based calendar
,compton,for transparency and removing screen-tearing
,wine-staging,installs wine for linux
A,lutris,is the Lutris game manager
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,gnome-keyring,serves as the system keyring
,newsboat,is a terminal RSS client
,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system
,pulseaudio-alsa,is an audio interface with ALSA
,pulseeffects,manages effects for pulseaudio
,pavucontrol,is a terminal audio control interface
,volctl,is a tray icon mixer
,sc-im,is an Excel-like terminal spreadsheet manager
A,polybar,is the status bar
,conky,displays system info
,mpd,is the audio daemon
,network-manager-applet,is a tray icon for Network Manager
A,pamac-aur,is a GUI AUR app
,rofi,launches apps
A,snapd,is the daemon for snap
,flatpak,is a secondary package manager
,ostree,helps for containerized packages
,fwupd,helps with firmware updates
,gnome-software,is an application utility (mainly for flatpak)
A,betterlockscreen,locks the screen
,lightdm,is the desktop manager
,lightdm-gtk-greeter,is the default lightdm greeter
A,lightdm-webkit2-greeter,is the greeter that will later be configured
A,lightdm-webkit2-theme-arch,is the theme for webkit2 (remember to configure)
,neofetch,shows the system info in cli
,libreoffice-fresh,is the office doc editor
,gnome-boxes,allows for virtual environments to be run
A,lastpass,installs lastpass for firefox
A,etcher,burns isos to usb drives
,vlc,plays music and video
,obs-studio,is the OBS recording app
,file-roller,compresses and decompresses files
A,transmission-sequential-gtk,is a torrent downloader
